w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0 9922.37 9662.32 6597.82 5591.19 9212.26 9112.83 8683.15 3228.01 859.045 0 
0 0.01 9944.53 9790.22 6696.1 5595.8 9460.56 9262.26 8702.02 3427.78 910.047 0 
0 0.02 9959.12 9855.32 6738.69 5575.06 9564.64 9201.43 8726.69 3560.08 947.927 0 
0 0.03 9969.8 9882.03 6757.84 5528.36 9564.18 9074.89 8748.43 3732.58 995.011 0 
0 0.04 9977.61 9887.64 6758.85 5452.96 9436.37 8886.82 8773.43 3892.93 1005 0 
0 0.05 9981.94 9853.4 6737.61 5351.51 9181.18 8710.4 8796.95 4075.99 1027.14 0 
0 0.06 9984.11 9789.93 6696.15 5229.38 8795.98 8497.15 8818.77 4268.22 1045.58 0 
0 0.07 9984.86 9700.29 6636.76 5077.39 8268.15 8283.03 8843.13 4456.69 1073.64 0 
0 0.08 9983.71 9592.95 6557.86 4906.32 7625.16 7966.47 8869.92 4615.87 1104.37 0 
0 0.09 9980.95 9463.17 6462.51 4717.99 6884.38 7681.2 8897.16 4770.43 1148.28 0 
0 0.1 9976.04 9311.71 6344.77 4505.94 6052.12 7430.2 8927.49 4911.87 1184.54 0 
0 0.11 9970.2 9142.74 6208.42 4284.81 5191.71 7161.12 8959.63 5074.03 1232.26 0 
0 0.12 9963.91 8956.11 6052.63 4048.15 4348.14 6880.1 8995.06 5299.46 1270.51 0 
0 0.13 9956.48 8754.77 5880.97 3805.05 3556.05 6675.4 9033.1 5539.82 1329.3 0 
0 0.14 9946.37 8540.5 5699.78 3566.04 2796.2 6436.2 9070.89 5764.07 1368.08 0 
0 0.15 9936.82 8354.93 5498.01 3324.22 2101.65 6196.15 9117.1 6000.89 1414.94 0 
0 0.16 9924.48 8226.87 5272.68 3088.54 1455.86 5859.03 9172.64 6183.49 1491.7 0 
0 0.17 9911.62 8138.35 5039.64 2866.87 991.26 5544.39 9228.87 6399.24 1600.9 0 
0 0.18 9898.69 8143.45 4787.21 2655.58 687.682 5120.51 9287.84 6657.62 1768.49 0 
0 0.19 9881.5 8248.98 4499.05 2446.24 501.185 4453.14 9339.1 6908.38 2121.19 0 
0 0.2 9829.24 8159.78 4182.62 2259.4 440.997 3667.23 9362.46 7073.71 1774.85 0 
0 0.21 9778.97 8014.11 3932.82 2098.19 404.232 3262.57 9397.64 7312.58 1719.04 0 
0 0.22 9744.86 7924.03 3674.44 1950.36 380.067 3025.29 9437.8 7478.26 1584.74 0 
0 0.23 9726.51 8005.41 3455.57 1841.54 360.436 2763.22 9478.21 7638.85 1444.91 0 
0 0.24 9722.43 7865.97 3101.87 1752.6 343.782 1877.38 9417.02 7667.35 874.893 0 
0 0.25 9713.95 6980.65 2743.82 1679.17 328.287 1121.28 9332.94 7716.58 783.985 0 
0 0.26 9693.79 6739.11 2576.24 1625.6 314.649 976.56 9337.98 7801.27 789.531 0 
0 0.27 9669.66 6436.98 2436.4 1579.01 301.477 846.545 9354.71 7889.61 806.862 0 
0 0.28 9640.87 6092.62 2295.53 1535.89 288.939 808.257 9367.83 7956.92 827.543 0 
0 0.29 9605.42 6085.14 2171.97 1504.01 277.634 782.415 9376.89 8015.44 859.029 0 
0 0.3 9570.24 6071.68 2052.22 1476.82 266.03 757.549 9383.71 8091.73 891.535 0 
0 0.31 9529.33 5888.32 1931.11 1452.77 254.825 752.784 9389.17 8152.26 912.646 0 
0 0.32 9485.55 5923.14 1825.35 1436.05 244.883 745.795 9393.63 8201.75 913.997 0 
0 0.33 9446.85 5925.41 1725.44 1428.14 234.873 748.521 9400.03 8272.02 884.803 0 
0 0.34 9385.78 5660.69 1645.94 1401.89 225.385 770.759 9419.33 8322.03 895.103 0 
0 0.35 9309.99 5122.85 1598.1 1386.71 216.205 807.6 9452.45 8354.01 916.806 0 
0 0.36 9285.56 5015.3 1546.4 1373.98 207.392 870.838 9466.39 8417.64 987.67 0 
0 0.37 9270.98 5170.08 1485.83 1361.95 199.334 924.804 9478.17 8471.06 1069.5 0 
0 0.38 9268.57 5519.62 1424.18 1354.2 190.981 1030.64 9492.95 8531.83 1224.83 0 
0 0.39 9275 6033.36 1359.95 1349.62 183.925 1185.32 9508.65 8588.09 1460.16 0 
0 0.4 9345.86 7479.78 1299.01 1330.99 177.058 1516.22 9537.25 8620.65 2304.53 0 
0 0.41 9388.42 7891.42 1238.12 1331.3 170.794 2722.86 9632.28 8782.08 3280.5 0 
0 0.42 9377.45 7969.77 1166.03 1321.68 164.641 3510.82 9668.17 8875.13 3618.09 0 
0 0.43 9359.91 8028.73 1097.03 1313.54 159.2 3963.49 9690.62 8947.95 3934.91 0 
0 0.44 9340.29 8093.3 1032.13 1305.79 154.675 4287.02 9708.83 9012.83 4246.34 0 
0 0.45 9319.45 8156.62 971.512 1298.87 150.83 4543.54 9725.76 9071.38 4536.29 0 
0 0.46 9299.02 8222.12 914.674 1292.43 148.001 4787.69 9741.87 9127.78 4745.47 0 
0 0.47 9278.4 8286.07 862.241 1286.34 145.864 5022.62 9756.62 9184.66 4856.37 0 
0 0.48 9258.08 8342.49 814.098 1280.92 144.445 5219.81 9769.99 9235.42 4953.89 0 
0 0.49 9239.29 8398.94 769.831 1276.2 143.784 5456.81 9783.38 9285.77 5069.35 0 
0 0.5 9222.48 8437.48 728.645 1272.35 143.4 5692.57 9795.34 9335.6 5188.2 0 
0 0.51 9208.76 8478.36 690.263 1269.01 142.925 5819.4 9806.26 9378.51 5314.6 0 
0 0.52 9196.44 8491.8 655.049 1266.57 142.556 6012.36 9817.04 9423.11 5402.12 0 
0 0.53 9186.34 8481.73 623.521 1264.83 142.397 6148.16 9826.51 9463.95 5464.51 0 
0 0.54 9179.66 8443.41 594.331 1263.2 142.514 6233.3 9835.1 9504.5 5499.75 0 
0 0.55 9176.32 8380.43 566.822 1261.21 143.218 6291.06 9842.45 9546.87 5477.29 0 
0 0.56 9175.36 8292.32 540.146 1259.53 144.255 6331.03 9848.23 9586.45 5429.39 0 
0 0.57 9177.29 8180.52 513.83 1258.34 145.992 6362.84 9852.59 9630.92 5358.94 0 
0 0.58 9182.63 8049.3 487.977 1257.52 147.816 6380.33 9854.31 9663.89 5247.22 0 
0 0.59 9191.64 7905.97 461.119 1257.47 149.821 6398.73 9854.13 9697.62 5137.48 0 
0 0.6 9203.71 7753.66 433.259 1257.16 152.061 6412.31 9852.3 9725.16 4990.89 0 
0 0.61 9219.02 7583.88 405.117 1256.88 154.294 6426.38 9848.22 9750.87 4804.3 0 
0 0.62 9237.95 7390.2 376.97 1257.04 156.681 6436.66 9842.36 9776.63 4579.69 0 
0 0.63 9259.01 7162.85 349.007 1257.24 159.192 6444.71 9835.35 9806.17 4307.9 0 
