w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0 9954.29 9956.97 7081.65 6716.62 9710.81 9471.67 8613.71 3112.2 972.555 0 
0 0.01 9964.08 9970.19 7098.13 6614.62 9713.21 9445.03 8635.17 3249.68 974.566 0 
0 0.02 9972.02 9975.11 7098.75 6483.29 9670.93 9400.64 8657.81 3411.26 983.362 0 
0 0.03 9978.09 9964.16 7089.23 6339.28 9564.16 9223.92 8676.4 3539.67 993.308 0 
0 0.04 9983.17 9928.38 7075.24 6152.62 9330.06 9010.07 8698.8 3700.5 1060.06 0 
0 0.05 9984.87 9867.49 7022.89 5943.91 8993.36 8788.14 8726.59 3814.17 1108.53 0 
0 0.06 9985.38 9781.01 6947.95 5726.88 8562.5 8487.95 8755.21 3953.93 1145.9 0 
0 0.07 9983.3 9667.27 6863.64 5487.53 8004.5 8145.59 8782.53 4123.88 1185.46 0 
0 0.08 9979.79 9531.47 6755.13 5246.73 7383.7 7890.68 8811.69 4279.09 1216.24 0 
0 0.09 9975.22 9376.6 6626.2 4976.49 6660.76 7608.31 8844.34 4481.24 1243.56 0 
0 0.1 9969.71 9205.64 6478.09 4709.58 5902.44 7353.69 8879.23 4653.42 1274.38 0 
0 0.11 9963.74 9024.07 6318.31 4437.01 5129.08 7080.56 8916.26 4884.65 1300.55 0 
0 0.12 9957.73 8839.26 6138.39 4153.61 4325.65 6836.93 8959.63 5118.16 1319.82 0 
0 0.13 9950.02 8642.14 5947.18 3867.66 3511.93 6604.8 9004.6 5398.94 1363.17 0 
0 0.14 9941.69 8444.49 5743.5 3594.6 2752.18 6413.54 9053.59 5655.64 1401.79 0 
0 0.15 9932.96 8244.55 5529.3 3329.97 2078.56 6210.19 9103.33 5932.19 1464.47 0 
0 0.16 9922.49 8140.6 5294.63 3090.89 1466.45 5928.56 9164.23 6183.92 1517.45 0 
0 0.17 9911 8113.62 5047.38 2865.19 997.225 5564.95 9226.83 6402.36 1610.59 0 
0 0.18 9898.69 8138.19 4788.76 2655.46 689.064 5128.8 9287.35 6663.1 1768.28 0 
0 0.19 9881.6 8247.3 4499.42 2445.98 501.366 4453.97 9339.28 6907.94 2120.35 0 
0 0.2 9837.27 8226.28 4206.83 2268.51 442.013 3791.34 9362.64 7065.02 1797.02 0 
0 0.21 9793.91 8079.64 3932.56 2102.23 404.498 3256.01 9395.9 7267.64 1665.4 0 
0 0.22 9741.12 7916.32 3679.19 1957.14 380.08 3033.56 9426.82 7455.19 1543.22 0 
0 0.23 9716.08 7789.7 3400.07 1837.42 360.434 2469.6 9434.59 7567.59 1108.75 0 
0 0.24 9707.3 7940.89 3185.83 1757.58 343.782 2129.46 9452.91 7679.4 959.473 0 
0 0.25 9663.15 6160.7 2643.73 1657.51 328.287 1036.24 9270.65 7691.92 725.118 0 
0 0.26 9637.43 6051.65 2501.45 1607.22 314.649 975.302 9287.91 7785.87 722.611 0 
