x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
1e-05 0.28 0 0 -0.882768 1.71755 0 -0.876874 1.7097 0 -0.876874 1.7097 0 -0.882768 1.71755 0 -1.05726 1.16545 0 0.445552 -0.000345429 0 0.445552 -0.000345429 0 -1.05726 1.16545 0 
2.999e-05 0.28 0 0 -0.885303 1.72071 0 -0.875996 1.7097 0 -0.875996 1.7097 0 -0.885303 1.72071 0 -1.26731 1.57631 0 0.439231 -0.00101567 0 0.439231 -0.00101567 0 -1.26731 1.57631 0 
5.996e-05 0.28 0 0 -0.888363 1.7249 0 -0.875142 1.7097 0 -0.875142 1.7097 0 -0.888363 1.7249 0 -1.52999 2.09739 0 0.426981 -0.00162835 0 0.426981 -0.00162835 0 -1.52999 2.09739 0 
9.99001e-05 0.28 0 -4.14192e-17 -0.892071 1.73039 0 -0.874323 1.70969 0 -0.874323 1.70969 4.14192e-17 -0.892071 1.73039 -2.07096e-14 -1.85418 2.74443 0 0.409139 -0.00215183 0 0.409139 -0.00215183 2.07096e-14 -1.85418 2.74443 0 
0.0001498 0.28 0 0 -0.896566 1.73745 0 -0.873551 1.70969 0 -0.873551 1.70969 0 -0.896566 1.73745 2.07096e-14 -2.24728 3.53025 0 0.386046 -0.00256002 0 0.386046 -0.00256002 -2.07096e-14 -2.24728 3.53025 0 
0.00020965 0.28 0 -4.21406e-17 -0.901994 1.74638 0 -0.872835 1.70968 0 -0.872835 1.70968 4.21406e-17 -0.901994 1.74638 -2.10703e-14 -2.71404 4.46257 0 0.358043 -0.00283304 0 0.358043 -0.00283304 2.10703e-14 -2.71404 4.46257 0 
0.000279441 0.28 0 0 -0.908504 1.75746 0 -0.872184 1.70968 0 -0.872184 1.70968 0 -0.908504 1.75746 2.10703e-14 -3.25527 5.54151 0 0.325476 -0.00295766 0 0.325476 -0.00295766 -2.10703e-14 -3.25527 5.54151 0 
0.000359161 0.28 0 0 -0.916237 1.77097 0 -0.871607 1.70967 0 -0.871607 1.70967 0 -0.916237 1.77097 0 -3.8665 6.75712 0 0.288691 -0.00292757 0 0.288691 -0.00292757 0 -3.8665 6.75712 0 
0.000448802 0.28 0 -4.40883e-17 -0.925311 1.78715 0 -0.871111 1.70966 0 -0.871111 1.70966 4.40883e-17 -0.925311 1.78715 -2.20442e-14 -4.53688 8.08734 0 0.24804 -0.00274337 0 0.24804 -0.00274337 2.20442e-14 -4.53688 8.08734 0 
0.000548353 0.28 0 0 -0.935808 1.80614 0 -0.870703 1.70966 0 -0.870703 1.70966 0 -0.935808 1.80614 2.20442e-14 -5.24837 9.49659 0 0.203875 -0.00241251 0 0.203875 -0.00241251 -2.20442e-14 -5.24837 9.49659 0 
0.000657805 0.28 0 0 -0.947759 1.82801 0 -0.87039 1.70966 0 -0.87039 1.70966 0 -0.947759 1.82801 0 -5.97557 10.9356 0 0.156552 -0.00194894 0 0.156552 -0.00194894 0 -5.97557 10.9356 0 
0.000777147 0.28 0 0 -0.961131 1.8527 0 -0.870177 1.70965 0 -0.870177 1.70965 0 -0.961131 1.8527 0 -6.68613 12.3423 0 0.106428 -0.00137273 0 0.106428 -0.00137273 0 -6.68613 12.3423 0 
0.00090637 0.28 0 0 -0.975815 1.87999 0 -0.870069 1.70965 0 -0.870069 1.70965 0 -0.975815 1.87999 0 -7.34206 13.6449 0 0.0538621 -0.000709457 0 0.0538621 -0.000709457 0 -7.34206 13.6449 0 
0.00104546 0.28 0 5.10219e-17 -0.991618 1.90952 0 -0.870071 1.70965 0 -0.870071 1.70965 -5.10219e-17 -0.991618 1.90952 2.5511e-14 -7.90155 14.7654 0 -0.000783248 1.03877e-05 0 -0.000783248 1.03877e-05 -2.5511e-14 -7.90155 14.7654 0 
0.00119442 0.28 0 0 -1.00826 1.94077 0 -0.870185 1.70965 0 -0.870185 1.70965 0 -1.00826 1.94077 -2.5511e-14 -8.32152 15.6246 0 -0.0571463 0.000752244 0 -0.0571463 0.000752244 2.5511e-14 -8.32152 15.6246 0 
0.00135322 0.28 0 0 -1.02538 1.97306 0 -0.870415 1.70966 0 -0.870415 1.70966 0 -1.02538 1.97306 0 -8.56042 16.148 0 -0.114864 0.00147829 0 -0.114864 0.00147829 0 -8.56042 16.148 0 
0.00152187 0.28 0 -5.79085e-17 -1.04254 2.00561 0 -0.870762 1.70966 0 -0.870762 1.70966 5.79085e-17 -1.04254 2.00561 -2.89543e-14 -8.5812 16.2708 0 -0.173573 0.00214838 0 -0.173573 0.00214838 2.89543e-14 -8.5812 16.2708 0 
0.00170035 0.28 0 0 -1.05925 2.03749 0 -0.871228 1.70967 0 -0.871228 1.70967 0 -1.05925 2.03749 2.89543e-14 -8.35425 15.9439 0 -0.232909 0.00272099 0 -0.232909 0.00272099 -2.89543e-14 -8.35425 15.9439 0 
0.00188865 0.28 0 0 -1.07497 2.06777 0 -0.871813 1.70967 0 -0.871813 1.70967 0 -1.07497 2.06777 0 -7.86016 15.1373 0 -0.292509 0.00315428 0 -0.292509 0.00315428 0 -7.86016 15.1373 0 
0.00208676 0.28 0 0 -1.08916 2.09546 0 -0.872517 1.70968 0 -0.872517 1.70968 0 -1.08916 2.09546 0 -7.09208 13.8441 0 -0.352012 0.00340708 0 -0.352012 0.00340708 0 -7.09208 13.8441 0 
0.00229467 0.28 0 0 -1.10127 2.11962 0 -0.873339 1.70969 0 -0.873339 1.70969 0 -1.10127 2.11962 0 -6.05769 12.0819 0 -0.411057 0.00343998 0 -0.411057 0.00343998 0 -6.05769 12.0819 0 
0.00251238 0.28 0 -7.04341e-17 -1.11083 2.13941 0 -0.874278 1.70969 0 -0.874278 1.70969 7.04341e-17 -1.11083 2.13941 -3.52171e-14 -4.78023 9.89315 0 -0.469287 0.00321631 0 -0.469287 0.00321631 3.52171e-14 -4.78023 9.89315 0 
